SL No,Donor Name,Location Name,Latitude ,Longitude,Google location,No of Percolation well Constructed,Year of Completion,Zone,Ward Number,Location by Parks/Campuses
377,Broadcom,"BSF CEDOCO Campus, Yelahanka",13.12932697,77.63204926,"https://www.google.com/maps/place/13%C2%B007'44.9%22N+77%C2%B037'55.3%22E/@13.1291322,77.629457,773m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d13.1291322!4d77.6320319?hl=en&entry=ttu&g_ep=EgoyMDI0MTIwNC4wIKXMDSoASAFQAw%3D%3D",80,Mar-25,Yelahanka zone,,Defence Campus
378,Broadcom,"CAR Headquarters, chamarajepete",12.96251327,77.56449617,"https://www.google.com/maps/place/Car+Head+Quarters,+48,+Anjanappa+Gardens,+Cottonpete,+Bengaluru,+Karnataka+560053/data=!4m2!3m1!1s0x3bae15ff0f72dc0b:0x50af05bde1421b3c?utm_source=mstt_1&entry=gps&coh=192189&g_ep=CAESCjExLjE1NS4xMDEYACDXggMqfiw5NDI0MjUwOCw5NDIyMzI5OSw5NDIxNjQxMyw5NDIxMjQ5Niw5NDIwNzM5NCw5NDIwNzUwNiw5NDIwODUwNiw5NDIxNzUyMyw5NDIxODY1Myw5NDIyOTgzOSw5NDIzOTEyNyw0NzA4NzExOCw0NzA4NDM5Myw5NDIxMzIwMEICSU4%3D",118,Mar-25,west zone,,Police Campus
379,Broadcom,BWSSB Nayadahalli,12.93635348,77.52130346,,2,Mar-25,RR Nagar,,BWSSB Dept
380,Broadcom,DRDO Campus Phase 2,12.98677402,77.68190916,"https://www.google.com/maps/place/DRDO+Phase+2+Twp,+Chinappa+Layout,+Kaggadasapura,+Bengaluru,+Karnataka,+India/@12.9875896,77.6748163,1546m/data=!3m2!1e3!4b1!4m6!3m5!1s0x3bae1169f697b29d:0xde81c92f2f8b6290!8m2!3d12.9868704!4d77.6808128!16s%2Fg%2F12hk_9x5q?hl=en-US&entry=ttu&g_ep=EgoyMDI0MTIwMS4xIKXMDSoASAFQAw%3D%3D",61,Mar-25,East Zone,,Defence Campus
381,Broadcom,Horticuture university,12.96250281,77.56400264,"https://www.google.com/maps/place/Car+Head+Quarters,+48,+Anjanappa+Gardens,+Cottonpete,+Bengaluru,+Karnataka+560053/data=!4m2!3m1!1s0x3bae15ff0f72dc0b:0x50af05bde1421b3c?utm_source=mstt_1&entry=gps&coh=192189&g_ep=CAESCjExLjE1NS4xMDEYACDXggMqfiw5NDI0MjUwOCw5NDIyMzI5OSw5NDIxNjQxMyw5NDIxMjQ5Niw5NDIwNzM5NCw5NDIwNzUwNiw5NDIwODUwNiw5NDIxNzUyMyw5NDIxODY1Myw5NDIyOTgzOSw5NDIzOTEyNyw0NzA4NzExOCw0NzA4NDM5Myw5NDIxMzIwMEICSU4%3D",128,Mar-25,Yelahanka zone,,Others
382,Broadcom,Child and women devolpment,13.10256609,77.58475723,https://maps.app.goo.gl/Zf3LSMvQugS6EGZa6,15,Mar-25,Yelahanka zone,,Others
383,Broadcom,Sri Yogi Vemanna Park,13.09856646,77.57193684,https://maps.app.goo.gl/beNJU3qdsrP41ke16,3,Mar-25,Yelahanka zone,,BBMP Park
384,Broadcom,Eshawara Park 1,13.10790329,77.57372658,https://maps.app.goo.gl/mXsRgK8evhfd681T9,4,Mar-25,Yelahanka zone,,BBMP Park
385,Broadcom,Eshawara Park 2,13.10790329,77.57372658,https://maps.app.goo.gl/mXsRgK8evhfd681T9,4,Mar-25,Yelahanka zone,,BBMP Park
386,Broadcom,Bendre Park,13.09671864,77.57768051,https://maps.app.goo.gl/yiVzMNDwLF8WPxDu9,2,Mar-25,Yelahanka zone,,BBMP Park
387,Broadcom,Savitha Park,13.09629169,77.57693915,https://maps.app.goo.gl/GHPswRgLLTS1LT2t8,6,Mar-25,Yelahanka zone,,BBMP Park
388,Broadcom,GKVK near BBMP Park,13.09433851,77.56136856,https://maps.app.goo.gl/g1Nn3uC4Gu3YJFxd9,7,Mar-25,Yelahanka zone,,BBMP Park
389,Broadcom,Science & Technology Academy campus,13.09264899,77.56017152,https://maps.app.goo.gl/NpUCDhyrTAFzP58M6,21,Mar-25,Yelahanka zone,,Others
390,Broadcom,Byrasandra Park,12.93362548,77.58918182,https://maps.app.goo.gl/95pwGDnXjChf3mcG8,4,Mar-25,south zone,,BBMP Park
391,Broadcom,Sai Bab Temple Park,12.91855334,77.60194325,https://maps.app.goo.gl/LjK7EsANB2zv2iieA,2,Mar-25,south zone,,BBMP Park
392,Broadcom,NIMHANS Badavane park,12.91931267,77.60339251,https://maps.app.goo.gl/MRpgqbnoqtVu22EC9,2,Mar-25,south zone,,BBMP Park
393,Broadcom,Thungabadra Park,12.92329218,77.5803889,https://maps.app.goo.gl/YfLqzeBXCkcpippXA,8,Mar-25,south zone,,BBMP Park
394,Broadcom,NALRA Park,12.92583655,77.59896352,https://maps.app.goo.gl/qRg2BP9D1oaQJtNXA,4,Mar-25,south zone,,BBMP Park
395,Broadcom,NAL Layout,12.92458311,77.59874227,https://maps.app.goo.gl/HcuGmF64g2Dv8yAg9,4,Mar-25,south zone,,BBMP Park
396,Broadcom,SHVNM Govt school,13.00291921,77.5676353,https://maps.app.goo.gl/r7XLqi4facc3EsZy8,18,Mar-25,west zone,,Schools and Colleges
397,Broadcom,SHVNM Govt College,13.00291921,77.5676353,https://maps.app.goo.gl/r7XLqi4facc3EsZy8,15,Mar-25,west zone,,Schools and Colleges
398,Wells Fargo,"ASC North Campus Ejipura,",12.94447247,77.63642173,https://maps.app.goo.gl/Gdx5CBo9Cd6LesyTA,311,Mar-25,East Zone,,Defence Campus
399,Alstom Foundation,DRDO Campus,12.98774483,77.66152952,https://maps.app.goo.gl/xVv42UE6ZurtLs186,157,Mar-25,East Zone,,Defence Campus
400,Continental,"Farmers Producers Agriculture Institute, Yelahanka",13.0892813,77.56005006,https://maps.app.goo.gl/ZBLPo6jC13KgsZhZ8,17,Mar-25,Yelahanka zone,,Others
401,Continental,Cubbon park,12.97810683,77.59598102,https://maps.app.goo.gl/QNAJButRcKzY5K77A,50,Mar-25,Eest zone,,Horticulture Parks
402,Continental,Horticuture university,13.0934098,77.56622047,https://maps.app.goo.gl/qGdKjDcTERxKFkSS9,15,Mar-25,Yelahanka zone,,Others
403,Fidelity,Kanakadasa park,,,https://maps.app.goo.gl/Rt3tcR3hD8pNc7JQ8,17,Mar-25,East zone,,BBMP Park
404,Fidelity,Shankar park,,,https://maps.app.goo.gl/aTb9wkgN4vwxwCSYA,5,Mar-25,East zone,,BBMP Park
405,Fidelity,DRDO Campus,12.98774483,77.66152952,https://maps.app.goo.gl/xVv42UE6ZurtLs186,59,Mar-25,East zone,,Defence Campus
406,Fidelity,Sadanandhanagar Park,,,https://maps.app.goo.gl/PWZwNdBgeRZhRCFn,6,Mar-25,East zone,,BBMP Park
407,Fidelity,Kasturi nagar Park,,,https://maps.app.goo.gl/aWoWxfM364AG3CVY6,9,Mar-25,East zone,,BBMP Park
408,Fidelity,Traingle park 1,13.00097212,77.6614107,https://maps.app.goo.gl/mSaPXCF2Jq7A463Q9,2,Mar-25,East zone,,BBMP Park
409,Fidelity,Traingle park 2,13.00190491,77.66092831,https://maps.app.goo.gl/5LLjp33Vc7FGhJxe6,1,Mar-25,East zone,,BBMP Park
410,Fidelity,Shivaram karandh park,13.00326412,77.66155014,https://maps.app.goo.gl/tKm8iX56FGb3cA31A,9,Mar-25,East zone,,BBMP Park
411,Fidelity,Narayana Olympiad School park,13.00773563,77.66191284,https://maps.app.goo.gl/Tv69zewA9ZF3rDdx8,2,Mar-25,East zone,,BBMP Park
412,Fidelity,Green view park,13.00848654,77.65821147,https://maps.app.goo.gl/Vjj6QfyvTsLxhBuY7,4,Mar-25,East zone,,BBMP Park
413,Fidelity,Rajkumar Park,13.01619737,77.64072656,https://maps.app.goo.gl/6oZExun6f8QCvmhv6,12,Mar-25,East zone,,BBMP Park
414,Fidelity,Buvanagitri Park,13.01190799,77.65894973,https://maps.app.goo.gl/37ZGAuXmLuirnuK39,3,Mar-25,East zone,,BBMP Park
415,Fidelity,KSRP 9th battalion,12.88741521,77.66905034,https://maps.app.goo.gl/dYn1Dq3M286qsyNs7,6,Mar-25,Bommanahalli Zone,,Police Campus
416,SUS,"PHC,Maratahalli",12.96317768,77.69802191,https://maps.app.goo.gl/KDAnbqqkHaRtCFhK6,2,Mar-25,Mahadevapura Zone,,Others
417,Caterpiller,BSF Campus,13.13150676,77.60201455,https://maps.app.goo.gl/yyeokgJ8tEQLzA32A,50,Mar-25,Yelahanka,,Defence Campus
418,Caterpiller,CMP Campus,12.95238853,77.60742291,https://maps.app.goo.gl/KJqtk6VV9KjU9dPd7,100,Mar-25,East zone,,Defence Campus
419,Caterpiller,Horticuture university,13.09628132,77.57693628,https://maps.app.goo.gl/GHPswRgLLTS1LT2t8,42,Mar-25,Yelahanka,,Others
420,Caterpiller,"Airforce HQ,Mekhri circle",13.01593513,77.58400314,https://maps.app.goo.gl/rKbhUPjiap2Z6HKdA,68,Mar-25,West Zone,,Defence Campus
421,Caterpiller,Swimming pool Extension Park,12.99922926,77.57437502,"https://www.google.com/maps/place/12%C2%B059'57.2%22N+77%C2%B034'27.8%22E/@12.9992622,77.5740428,137m/data=!3m1!1e3!4m4!3m3!8m2!3d12.9992293!4d77.574375?entry=ttu&g_ep=EgoyMDI1MDkwMy4wIKXMDSoASAFQAw%3D%3D",8,Mar-25,South zone,,BBMP Park
422,BEF/Limnotech,KSRP 9th Battalion,12.88730016,77.66905034,https://maps.app.goo.gl/54K9h2ZW4MrzDxJ2A,40,Mar-25,Bommanahalli Zone,,Police Campus
423,Software AG,"Airforce HQ,Mekhri circle",13.01593513,77.58400314,https://maps.app.goo.gl/rKbhUPjiap2Z6HKdA,32,Mar-25,West Zone,,Defence Campus
424,Mediatek,ASC Campus,,,https://maps.app.goo.gl/Gdx5CBo9Cd6LesyTA,52,Mar-25,East zone,,Defence Campus
